table,slot,entry_kind,target
v30op_repc,0x2f,handler,v30_reserved_repc
v30op_repc,0x30,handler,v30_reserved_repc
v30op_repc,0x31,handler,v30_reserved_repc
v30op_repc,0x32,handler,v30_reserved_repc
v30op_repc,0x33,handler,v30_reserved_repc
v30op_repc,0x34,handler,v30_reserved_repc
v30op_repc,0x35,handler,v30_reserved_repc
v30op_repc,0x36,handler,v30repc_segprefix_ss
v30op_repc,0x37,handler,v30_reserved_repc
v30op_repc,0x38,handler,v30_reserved_repc
v30op_repc,0x39,handler,v30_reserved_repc
v30op_repc,0x3a,handler,v30_reserved_repc
v30op_repc,0x3b,handler,v30_reserved_repc
v30op_repc,0x3c,handler,v30_reserved_repc
v30op_repc,0x3d,handler,v30_reserved_repc
v30op_repc,0x3e,handler,v30repc_segprefix_ds
v30op_repc,0x3f,handler,v30_reserved_repc
v30op_repc,0x40,handler,v30_reserved_repc
v30op_repc,0x41,handler,v30_reserved_repc
v30op_repc,0x42,handler,v30_reserved_repc
v30op_repc,0x43,handler,v30_reserved_repc
v30op_repc,0x44,handler,v30_reserved_repc
v30op_repc,0x45,handler,v30_reserved_repc
v30op_repc,0x46,handler,v30_reserved_repc
v30op_repc,0x47,handler,v30_reserved_repc
v30op_repc,0x48,handler,v30_reserved_repc
v30op_repc,0x49,handler,v30_reserved_repc
v30op_repc,0x4a,handler,v30_reserved_repc
v30op_repc,0x4b,handler,v30_reserved_repc
v30op_repc,0x4c,handler,v30_reserved_repc
v30op_repc,0x4d,handler,v30_reserved_repc
v30op_repc,0x4e,handler,v30_reserved_repc
v30op_repc,0x4f,handler,v30_reserved_repc
v30op_repc,0x50,handler,v30_reserved_repc
v30op_repc,0x51,handler,v30_reserved_repc
v30op_repc,0x52,handler,v30_reserved_repc
v30op_repc,0x53,handler,v30_reserved_repc
v30op_repc,0x54,handler,v30_reserved_repc
v30op_repc,0x55,handler,v30_reserved_repc
v30op_repc,0x56,handler,v30_reserved_repc
v30op_repc,0x57,handler,v30_reserved_repc
v30op_repc,0x58,handler,v30_reserved_repc
v30op_repc,0x59,handler,v30_reserved_repc
v30op_repc,0x5a,handler,v30_reserved_repc
v30op_repc,0x5b,handler,v30_reserved_repc
v30op_repc,0x5c,handler,v30_reserved_repc
v30op_repc,0x5d,handler,v30_reserved_repc
v30op_repc,0x5e,handler,v30_reserved_repc
v30op_repc,0x5f,handler,v30_reserved_repc
v30op_repc,0x60,handler,v30_reserved_repc
v30op_repc,0x61,handler,v30_reserved_repc
v30op_repc,0x62,handler,v30_reserved_repc
v30op_repc,0x63,handler,v30_reserved_repc
v30op_repc,0x64,handler,v30_reserved_repc
v30op_repc,0x65,handler,v30_reserved_repc
v30op_repc,0x66,handler,v30_reserved_repc
v30op_repc,0x67,handler,v30_reserved_repc
v30op_repc,0x68,handler,v30_reserved_repc
v30op_repc,0x69,handler,v30_reserved_repc
v30op_repc,0x6a,handler,v30_reserved_repc
