table,slot,entry_kind,target
upd9002op,0x54,handler,_push_sp
upd9002op,0x55,handler,_push_bp
upd9002op,0x56,handler,_push_si
upd9002op,0x57,handler,_push_di
upd9002op,0x58,handler,_pop_ax
upd9002op,0x59,handler,_pop_cx
upd9002op,0x5a,handler,_pop_dx
upd9002op,0x5b,handler,_pop_bx
upd9002op,0x5c,handler,_pop_sp
upd9002op,0x5d,handler,_pop_bp
upd9002op,0x5e,handler,_pop_si
upd9002op,0x5f,handler,_pop_di
upd9002op,0x60,handler,_pusha
upd9002op,0x61,handler,_popa
upd9002op,0x62,handler,_bound
upd9002op,0x63,handler,_reserved_no_int
upd9002op,0x64,handler,_repnc
upd9002op,0x65,handler,_repc
upd9002op,0x66,handler,_reserved_no_int
upd9002op,0x67,handler,_reserved_no_int
upd9002op,0x68,handler,_push_data16
upd9002op,0x69,handler,_imul_reg_ea_data16
upd9002op,0x6a,handler,_push_data8
upd9002op,0x6b,handler,_imul_reg_ea_data8
upd9002op,0x6c,handler,_insb
upd9002op,0x6d,handler,_insw
upd9002op,0x6e,handler,_outsb
upd9002op,0x6f,handler,_outsw
upd9002op,0x70,handler,_jo_short
upd9002op,0x71,handler,_jno_short
upd9002op,0x72,handler,_jc_short
upd9002op,0x73,handler,_jnc_short
upd9002op,0x74,handler,_jz_short
upd9002op,0x75,handler,_jnz_short
upd9002op,0x76,handler,_jna_short
upd9002op,0x77,handler,_ja_short
upd9002op,0x78,handler,_js_short
upd9002op,0x79,handler,_jns_short
upd9002op,0x7a,handler,_jp_short
upd9002op,0x7b,handler,_jnp_short
upd9002op,0x7c,handler,_jl_short
upd9002op,0x7d,handler,_jnl_short
upd9002op,0x7e,handler,_jle_short
upd9002op,0x7f,handler,_jnle_short
upd9002op,0x80,handler,_calc_ea8_i8
upd9002op,0x81,handler,_calc_ea16_i16
upd9002op,0x82,handler,_calc_ea8_i8
upd9002op,0x83,handler,_calc_ea16_i8
upd9002op,0x84,handler,_test_ea_r8
upd9002op,0x85,handler,_test_ea_r16
upd9002op,0x86,handler,_xchg_ea_r8
upd9002op,0x87,handler,_xchg_ea_r16
upd9002op,0x88,handler,_mov_ea_r8
upd9002op,0x89,handler,_mov_ea_r16
upd9002op,0x8a,handler,_mov_r8_ea
upd9002op,0x8b,handler,_mov_r16_ea
upd9002op,0x8c,handler,_mov_ea_seg
upd9002op,0x8d,handler,_lea_r16_ea
upd9002op,0x8e,handler,_mov_seg_ea
upd9002op,0x8f,handler,_pop_ea
upd9002op,0x90,handler,_nop
upd9002op,0x91,handler,_xchg_ax_cx
upd9002op,0x92,handler,_xchg_ax_dx
upd9002op,0x93,handler,_xchg_ax_bx
upd9002op,0x94,handler,_xchg_ax_sp
upd9002op,0x95,handler,_xchg_ax_bp
upd9002op,0x96,handler,_xchg_ax_si
upd9002op,0x97,handler,_xchg_ax_di
upd9002op,0x98,handler,_cbw
upd9002op,0x99,handler,_cwd
upd9002op,0x9a,handler,_call_far
upd9002op,0x9b,handler,_wait
upd9002op,0x9c,handler,_pushf
upd9002op,0x9d,handler,_popf
upd9002op,0x9e,handler,_sahf
upd9002op,0x9f,handler,_lahf
upd9002op,0xa0,handler,_mov_al_m8
upd9002op,0xa1,handler,_mov_ax_m16
upd9002op,0xa2,handler,_mov_m8_al
upd9002op,0xa3,handler,_mov_m16_ax
upd9002op,0xa4,handler,_movsb
upd9002op,0xa5,handler,_movsw
upd9002op,0xa6,handler,_cmpsb
upd9002op,0xa7,handler,_cmpsw
upd9002op,0xa8,handler,_test_al_data8
upd9002op,0xa9,handler,_test_ax_data16
upd9002op,0xaa,handler,_stosb
upd9002op,0xab,handler,_stosw
upd9002op,0xac,handler,_lodsb
upd9002op,0xad,handler,_lodsw
upd9002op,0xae,handler,_scasb
upd9002op,0xaf,handler,_scasw
upd9002op,0xb0,handler,_mov_al_imm
upd9002op,0xb1,handler,_mov_cl_imm
upd9002op,0xb2,handler,_mov_dl_imm
upd9002op,0xb3,handler,_mov_bl_imm
upd9002op,0xb4,handler,_mov_ah_imm
upd9002op,0xb5,handler,_mov_ch_imm
upd9002op,0xb6,handler,_mov_dh_imm
upd9002op,0xb7,handler,_mov_bh_imm
upd9002op,0xb8,handler,_mov_ax_imm
upd9002op,0xb9,handler,_mov_cx_imm
upd9002op,0xba,handler,_mov_dx_imm
upd9002op,0xbb,handler,_mov_bx_imm
upd9002op,0xbc,handler,_mov_sp_imm
upd9002op,0xbd,handler,_mov_bp_imm
upd9002op,0xbe,handler,_mov_si_imm
upd9002op,0xbf,handler,_mov_di_imm
upd9002op,0xc0,handler,_shift_ea8_data8
upd9002op,0xc1,handler,_shift_ea16_data8
upd9002op,0xc2,handler,_ret_near_data16
upd9002op,0xc3,handler,_ret_near
upd9002op,0xc4,handler,_les_r16_ea
upd9002op,0xc5,handler,_lds_r16_ea
upd9002op,0xc6,handler,_mov_ea8_data8
upd9002op,0xc7,handler,_mov_ea16_data16
upd9002op,0xc8,handler,_enter
upd9002op,0xc9,handler,fleave
upd9002op,0xca,handler,_ret_far_data16
upd9002op,0xcb,handler,_ret_far
upd9002op,0xcc,handler,_int_03
upd9002op,0xcd,handler,_int_data8
upd9002op,0xce,handler,_into
upd9002op,0xcf,handler,_iret
upd9002op,0xd0,handler,_shift_ea8_1
upd9002op,0xd1,handler,_shift_ea16_1
upd9002op,0xd2,handler,_shift_ea8_cl
upd9002op,0xd3,handler,_shift_ea16_cl
upd9002op,0xd4,handler,_aam
upd9002op,0xd5,handler,_aad
upd9002op,0xd6,handler,_xlat
upd9002op,0xd7,handler,_xlat
upd9002op,0xd8,handler,_esc
upd9002op,0xd9,handler,_esc
upd9002op,0xda,handler,_esc
upd9002op,0xdb,handler,_esc
upd9002op,0xdc,handler,_esc
upd9002op,0xdd,handler,_esc
upd9002op,0xde,handler,_esc
upd9002op,0xdf,handler,_esc
upd9002op,0xe0,handler,_loopnz
upd9002op,0xe1,handler,_loopz
upd9002op,0xe2,handler,_loop
upd9002op,0xe3,handler,_jcxz
upd9002op,0xe4,handler,_in_al_data8
upd9002op,0xe5,handler,_in_ax_data8
upd9002op,0xe6,handler,_out_data8_al
upd9002op,0xe7,handler,_out_data8_ax
upd9002op,0xe8,handler,_call_near
upd9002op,0xe9,handler,_jmp_near
upd9002op,0xea,handler,_jmp_far
upd9002op,0xeb,handler,_jmp_short
upd9002op,0xec,handler,_in_al_dx
upd9002op,0xed,handler,_in_ax_dx
upd9002op,0xee,handler,_out_dx_al
upd9002op,0xef,handler,_out_dx_ax
upd9002op,0xf0,handler,_lock
upd9002op,0xf1,handler,_lock
upd9002op,0xf2,handler,_repne
upd9002op,0xf3,handler,_repe
upd9002op,0xf4,handler,_hlt
upd9002op,0xf5,handler,_cmc
upd9002op,0xf6,handler,_ope0xf6
upd9002op,0xf7,handler,_ope0xf7
upd9002op,0xf8,handler,_clc
upd9002op,0xf9,handler,_stc
upd9002op,0xfa,handler,_cli
upd9002op,0xfb,handler,_sti
upd9002op,0xfc,handler,_cld
upd9002op,0xfd,handler,_std
upd9002op,0xfe,handler,_ope0xfe
upd9002op,0xff,handler,_ope0xff
upd9002op_repc,0x00,handler,_reserved_repc
upd9002op_repc,0x01,handler,_reserved_repc
upd9002op_repc,0x02,handler,_reserved_repc
upd9002op_repc,0x03,handler,_reserved_repc
upd9002op_repc,0x04,handler,_reserved_repc
upd9002op_repc,0x05,handler,_reserved_repc
upd9002op_repc,0x06,handler,_reserved_repc
upd9002op_repc,0x07,handler,_reserved_repc
upd9002op_repc,0x08,handler,_reserved_repc
upd9002op_repc,0x09,handler,_reserved_repc
upd9002op_repc,0x0a,handler,_reserved_repc
upd9002op_repc,0x0b,handler,_reserved_repc
