table,slot,entry_kind,target
upd9002op_repc,0x29,handler,_reserved_repc
upd9002op_repc,0x2a,handler,_reserved_repc
upd9002op_repc,0x2b,handler,_reserved_repc
upd9002op_repc,0x2c,handler,_reserved_repc
upd9002op_repc,0x2d,handler,_reserved_repc
upd9002op_repc,0x2e,handler,_repc_segprefix_cs
upd9002op_repc,0x2f,handler,_reserved_repc
upd9002op_repc,0x30,handler,_reserved_repc
upd9002op_repc,0x31,handler,_reserved_repc
upd9002op_repc,0x32,handler,_reserved_repc
upd9002op_repc,0x33,handler,_reserved_repc
upd9002op_repc,0x34,handler,_reserved_repc
upd9002op_repc,0x35,handler,_reserved_repc
upd9002op_repc,0x36,handler,_repc_segprefix_ss
upd9002op_repc,0x37,handler,_reserved_repc
upd9002op_repc,0x38,handler,_reserved_repc
upd9002op_repc,0x39,handler,_reserved_repc
upd9002op_repc,0x3a,handler,_reserved_repc
upd9002op_repc,0x3b,handler,_reserved_repc
upd9002op_repc,0x3c,handler,_reserved_repc
upd9002op_repc,0x3d,handler,_reserved_repc
upd9002op_repc,0x3e,handler,_repc_segprefix_ds
upd9002op_repc,0x3f,handler,_reserved_repc
upd9002op_repc,0x40,handler,_reserved_repc
upd9002op_repc,0x41,handler,_reserved_repc
upd9002op_repc,0x42,handler,_reserved_repc
upd9002op_repc,0x43,handler,_reserved_repc
upd9002op_repc,0x44,handler,_reserved_repc
upd9002op_repc,0x45,handler,_reserved_repc
upd9002op_repc,0x46,handler,_reserved_repc
upd9002op_repc,0x47,handler,_reserved_repc
upd9002op_repc,0x48,handler,_reserved_repc
upd9002op_repc,0x49,handler,_reserved_repc
upd9002op_repc,0x4a,handler,_reserved_repc
