mode,opcode,subopcode,target,classification,basis
v30op,0xee,-,_out_dx_al,implemented,final-root-target
v30op,0xef,-,_out_dx_ax,implemented,final-root-target
v30op,0xf0,-,_lock,implemented,final-root-target
v30op,0xf1,-,_lock,implemented,final-root-target
v30op,0xf2,-,v30_repne,implemented,final-root-target
v30op,0xf3,-,v30_repe,implemented,final-root-target
v30op,0xf4,-,_hlt,implemented,final-root-target
v30op,0xf5,-,_cmc,implemented,final-root-target
v30op,0xf6,-,v30_ope0xf6,implemented,final-root-target
v30op,0xf7,-,v30_ope0xf7,implemented,final-root-target
v30op,0xf8,-,_clc,implemented,final-root-target
v30op,0xf9,-,_stc,implemented,final-root-target
v30op,0xfa,-,_cli,implemented,final-root-target
v30op,0xfb,-,_sti,implemented,final-root-target
v30op,0xfc,-,_cld,implemented,final-root-target
v30op,0xfd,-,_std,implemented,final-root-target
v30op,0xfe,-,_ope0xfe,implemented,final-root-target
v30op,0xff,-,_ope0xff,implemented,final-root-target
v30op_0f,0x0f,0x00,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x01,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x02,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x03,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x04,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x05,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x06,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x07,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x08,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x09,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x0a,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x0b,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x0c,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x0d,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x0e,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x0f,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x10,v30_test1_ea8_cl,implemented,second-byte-resolved
v30op_0f,0x0f,0x11,v30_test1_ea16_cl,implemented,second-byte-resolved
v30op_0f,0x0f,0x12,v30_clr1_ea8_cl,implemented,second-byte-resolved
v30op_0f,0x0f,0x13,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x14,v30_set1_ea8_cl,implemented,second-byte-resolved
v30op_0f,0x0f,0x15,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x16,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x17,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x18,v30_test1_ea8_i3,implemented,second-byte-resolved
v30op_0f,0x0f,0x19,v30_test1_ea16_i4,implemented,second-byte-resolved
v30op_0f,0x0f,0x1a,v30_clr1_ea8_i3,implemented,second-byte-resolved
v30op_0f,0x0f,0x1b,v30_clr1_ea16_i4,implemented,second-byte-resolved
v30op_0f,0x0f,0x1c,v30_set1_ea8_i3,implemented,second-byte-resolved
v30op_0f,0x0f,0x1d,v30_set1_ea16_i4,implemented,second-byte-resolved
v30op_0f,0x0f,0x1e,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x1f,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x20,v30_add4s,implemented,second-byte-resolved
v30op_0f,0x0f,0x21,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x22,v30_sub4s,implemented,second-byte-resolved
v30op_0f,0x0f,0x23,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x24,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x25,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x26,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x27,v30_reserved_0x0f,known_target_gap,second-byte-resolved
v30op_0f,0x0f,0x28,v30_reserved_0x0f,known_target_gap,second-byte-resolved
