root,slot,base,base_target,operation,final_target
v30op_repne,0x02,i286op_repne,_add_r8_ea,base,_add_r8_ea
v30op_repne,0x03,i286op_repne,_add_r16_ea,base,_add_r16_ea
v30op_repne,0x04,i286op_repne,_add_al_data8,base,_add_al_data8
v30op_repne,0x05,i286op_repne,_add_ax_data16,base,_add_ax_data16
v30op_repne,0x06,i286op_repne,_push_es,base,_push_es
v30op_repne,0x07,i286op_repne,_pop_es,base,_pop_es
v30op_repne,0x08,i286op_repne,_or_ea_r8,base,_or_ea_r8
v30op_repne,0x09,i286op_repne,_or_ea_r16,base,_or_ea_r16
v30op_repne,0x0a,i286op_repne,_or_r8_ea,base,_or_r8_ea
v30op_repne,0x0b,i286op_repne,_or_r16_ea,base,_or_r16_ea
v30op_repne,0x0c,i286op_repne,_or_al_data8,base,_or_al_data8
v30op_repne,0x0d,i286op_repne,_or_ax_data16,base,_or_ax_data16
v30op_repne,0x0e,i286op_repne,_push_cs,base,_push_cs
v30op_repne,0x0f,i286op_repne,i286c_cts,base,i286c_cts
v30op_repne,0x10,i286op_repne,_adc_ea_r8,base,_adc_ea_r8
v30op_repne,0x11,i286op_repne,_adc_ea_r16,base,_adc_ea_r16
v30op_repne,0x12,i286op_repne,_adc_r8_ea,base,_adc_r8_ea
v30op_repne,0x13,i286op_repne,_adc_r16_ea,base,_adc_r16_ea
v30op_repne,0x14,i286op_repne,_adc_al_data8,base,_adc_al_data8
v30op_repne,0x15,i286op_repne,_adc_ax_data16,base,_adc_ax_data16
v30op_repne,0x16,i286op_repne,_push_ss,base,_push_ss
v30op_repne,0x17,i286op_repne,_pop_ss,base,_pop_ss
v30op_repne,0x18,i286op_repne,_sbb_ea_r8,base,_sbb_ea_r8
v30op_repne,0x19,i286op_repne,_sbb_ea_r16,base,_sbb_ea_r16
v30op_repne,0x1a,i286op_repne,_sbb_r8_ea,base,_sbb_r8_ea
v30op_repne,0x1b,i286op_repne,_sbb_r16_ea,base,_sbb_r16_ea
v30op_repne,0x1c,i286op_repne,_sbb_al_data8,base,_sbb_al_data8
v30op_repne,0x1d,i286op_repne,_sbb_ax_data16,base,_sbb_ax_data16
v30op_repne,0x1e,i286op_repne,_push_ds,base,_push_ds
v30op_repne,0x1f,i286op_repne,_pop_ds,base,_pop_ds
v30op_repne,0x20,i286op_repne,_and_ea_r8,base,_and_ea_r8
v30op_repne,0x21,i286op_repne,_and_ea_r16,base,_and_ea_r16
v30op_repne,0x22,i286op_repne,_and_r8_ea,base,_and_r8_ea
v30op_repne,0x23,i286op_repne,_and_r16_ea,base,_and_r16_ea
v30op_repne,0x24,i286op_repne,_and_al_data8,base,_and_al_data8
v30op_repne,0x25,i286op_repne,_and_ax_data16,base,_and_ax_data16
v30op_repne,0x26,i286op_repne,_repne_segprefix_es,patch,v30repne_segprefix_es
v30op_repne,0x27,i286op_repne,_daa,base,_daa
v30op_repne,0x28,i286op_repne,_sub_ea_r8,base,_sub_ea_r8
v30op_repne,0x29,i286op_repne,_sub_ea_r16,base,_sub_ea_r16
v30op_repne,0x2a,i286op_repne,_sub_r8_ea,base,_sub_r8_ea
v30op_repne,0x2b,i286op_repne,_sub_r16_ea,base,_sub_r16_ea
v30op_repne,0x2c,i286op_repne,_sub_al_data8,base,_sub_al_data8
v30op_repne,0x2d,i286op_repne,_sub_ax_data16,base,_sub_ax_data16
v30op_repne,0x2e,i286op_repne,_repne_segprefix_cs,patch,v30repne_segprefix_cs
v30op_repne,0x2f,i286op_repne,_das,base,_das
v30op_repne,0x30,i286op_repne,_xor_ea_r8,base,_xor_ea_r8
v30op_repne,0x31,i286op_repne,_xor_ea_r16,base,_xor_ea_r16
v30op_repne,0x32,i286op_repne,_xor_r8_ea,base,_xor_r8_ea
v30op_repne,0x33,i286op_repne,_xor_r16_ea,base,_xor_r16_ea
v30op_repne,0x34,i286op_repne,_xor_al_data8,base,_xor_al_data8
v30op_repne,0x35,i286op_repne,_xor_ax_data16,base,_xor_ax_data16
v30op_repne,0x36,i286op_repne,_repne_segprefix_ss,patch,v30repne_segprefix_ss
v30op_repne,0x37,i286op_repne,_aaa,base,_aaa
v30op_repne,0x38,i286op_repne,_cmp_ea_r8,base,_cmp_ea_r8
v30op_repne,0x39,i286op_repne,_cmp_ea_r16,base,_cmp_ea_r16
v30op_repne,0x3a,i286op_repne,_cmp_r8_ea,base,_cmp_r8_ea
v30op_repne,0x3b,i286op_repne,_cmp_r16_ea,base,_cmp_r16_ea
v30op_repne,0x3c,i286op_repne,_cmp_al_data8,base,_cmp_al_data8
v30op_repne,0x3d,i286op_repne,_cmp_ax_data16,base,_cmp_ax_data16
v30op_repne,0x3e,i286op_repne,_repne_segprefix_ds,patch,v30repne_segprefix_ds
v30op_repne,0x3f,i286op_repne,_aas,base,_aas
v30op_repne,0x40,i286op_repne,_inc_ax,base,_inc_ax
v30op_repne,0x41,i286op_repne,_inc_cx,base,_inc_cx
v30op_repne,0x42,i286op_repne,_inc_dx,base,_inc_dx
v30op_repne,0x43,i286op_repne,_inc_bx,base,_inc_bx
v30op_repne,0x44,i286op_repne,_inc_sp,base,_inc_sp
v30op_repne,0x45,i286op_repne,_inc_bp,base,_inc_bp
v30op_repne,0x46,i286op_repne,_inc_si,base,_inc_si
v30op_repne,0x47,i286op_repne,_inc_di,base,_inc_di
v30op_repne,0x48,i286op_repne,_dec_ax,base,_dec_ax
v30op_repne,0x49,i286op_repne,_dec_cx,base,_dec_cx
v30op_repne,0x4a,i286op_repne,_dec_dx,base,_dec_dx
v30op_repne,0x4b,i286op_repne,_dec_bx,base,_dec_bx
v30op_repne,0x4c,i286op_repne,_dec_sp,base,_dec_sp
v30op_repne,0x4d,i286op_repne,_dec_bp,base,_dec_bp
v30op_repne,0x4e,i286op_repne,_dec_si,base,_dec_si
v30op_repne,0x4f,i286op_repne,_dec_di,base,_dec_di
v30op_repne,0x50,i286op_repne,_push_ax,base,_push_ax
v30op_repne,0x51,i286op_repne,_push_cx,base,_push_cx
v30op_repne,0x52,i286op_repne,_push_dx,base,_push_dx
v30op_repne,0x53,i286op_repne,_push_bx,base,_push_bx
v30op_repne,0x54,i286op_repne,_push_sp,patch,v30push_sp
v30op_repne,0x55,i286op_repne,_push_bp,base,_push_bp
v30op_repne,0x56,i286op_repne,_push_si,base,_push_si
v30op_repne,0x57,i286op_repne,_push_di,base,_push_di
v30op_repne,0x58,i286op_repne,_pop_ax,base,_pop_ax
v30op_repne,0x59,i286op_repne,_pop_cx,base,_pop_cx
v30op_repne,0x5a,i286op_repne,_pop_dx,base,_pop_dx
v30op_repne,0x5b,i286op_repne,_pop_bx,base,_pop_bx
v30op_repne,0x5c,i286op_repne,_pop_sp,base,_pop_sp
v30op_repne,0x5d,i286op_repne,_pop_bp,base,_pop_bp
v30op_repne,0x5e,i286op_repne,_pop_si,base,_pop_si
v30op_repne,0x5f,i286op_repne,_pop_di,base,_pop_di
v30op_repne,0x60,i286op_repne,_pusha,base,_pusha
v30op_repne,0x61,i286op_repne,_popa,base,_popa
v30op_repne,0x62,i286op_repne,_bound,base,_bound
v30op_repne,0x63,i286op_repne,_arpl,patch,v30_reserved
v30op_repne,0x64,i286op_repne,_reserved,patch,v30_reserved
v30op_repne,0x65,i286op_repne,_reserved,patch,v30_reserved
